period,mean_power,25th_percentile,75th_percentile
Nuit (0h-6h),0.0040447142639441075,0.003276175582121815,0.004833571270490006
Matin (6h-12h),0.010533406283855856,0.0051755189224683435,0.0165116450623193
Après-midi (12h-18h),0.008915970848624428,0.004405174627019569,0.013031913166643018
Soirée (18h-24h),0.006082017709926534,0.003917576838862526,0.007472695331758553
Journée entière,0.007394027276587731,0.003791994817749452,0.009129046397836783
