,mean_power,25th_percentile,75th_percentile
0,15.31753595890411,11.985,19.32375
1,15.263061643835616,11.880625,19.126875000000002
2,15.207897260273972,11.8925,18.962500000000002
3,15.305258561643834,11.897499999999997,19.195
4,15.502066780821918,11.956874999999997,19.413125
5,17.62280993150685,14.080624999999998,21.81875
6,23.808736301369862,19.728125000000002,29.911875
7,30.99806506849315,21.554375,42.214375000000004
8,40.32542294520548,21.945625,60.495625
9,45.45246061643836,21.466874999999998,72.341875
10,41.95562328767123,21.194999999999993,63.62875
11,44.312691780821915,20.52,68.47312500000001
12,36.326297945205475,19.109374999999996,53.425625000000004
13,33.13241609589041,18.456250000000004,46.44125
14,37.47118835616438,18.99875,54.99
15,36.027289383561644,19.119375,51.49999999999999
16,32.183075342465756,18.84375,43.845625000000005
17,29.61468493150685,17.934375000000003,41.001875
18,29.33551712328767,17.955625,40.670625
19,27.573332191780825,18.193125000000002,37.472500000000004
20,26.381443493150687,17.915000000000003,35.531875
21,23.929501712328765,17.768749999999997,30.150000000000002
22,19.217027397260274,15.031875,23.21625
23,16.127921232876712,12.353124999999999,20.50875
