Chauffage,Electrique,Electrique,Non electrique,Non electrique,PAC,PAC  
ECS,Electrique,Non electrique,Electrique,Non electrique,Electrique,Non electrique
1,"14,300","13,500","2,300","1,500","5,340","5,100"
2,"15,300","14,500","3,700","2,500","6,340","6,100"
3,"15,800","15,000","4,600","3,000","6,840","6,600"
4,"16,300","15,500","5,500","3,500","7,340","7,100"
5,"16,800","16,000","6,400","4,000","7,840","7,600"
6,"17,300","16,500","7,300","4,500","8,340","8,100"

