Date,Cluster_0,Cluster_1,Cluster_2,Cluster_3
2023-01-01,4.599025806451612,4.078303174603175,6.8951875000000005,4.182595238095238
2023-01-02,5.044509677419355,4.291473015873016,7.806050000000001,5.790095238095239
2023-01-03,5.403935483870968,4.175063492063492,8.44504375,9.44588095238095
2023-01-04,5.276509677419355,4.085014285714286,7.317818749999999,10.57892857142857
2023-01-05,5.12678064516129,3.993922222222222,7.30180625,11.651285714285715
2023-01-06,5.2988838709677415,4.09358253968254,7.9853499999999995,8.652571428571427
2023-01-07,5.602509677419356,4.211982539682539,7.297018749999999,8.01304761904762
2023-01-08,5.73056129032258,4.753444444444445,9.0798125,4.028095238095238
2023-01-09,6.256348387096773,4.083523809523809,8.2008,16.069523809523808
2023-01-10,5.992206451612903,4.061641269841269,7.422037499999999,14.928642857142856
2023-01-11,6.3305483870967745,4.171773015873016,8.889325,13.615761904761907
2023-01-12,6.296664516129032,4.066425396825397,7.867656249999999,12.951309523809524
2023-01-13,6.132354838709678,4.097196825396825,7.698987499999999,14.028714285714283
2023-01-14,6.051058064516129,4.4981,8.2975125,6.590095238095238
2023-01-15,6.35956129032258,4.937326984126984,9.6649125,4.378261904761906
2023-01-16,6.82321935483871,4.307263492063492,9.27536875,13.994738095238093
2023-01-17,6.702793548387096,4.3207587301587305,10.2661125,16.56242857142857
2023-01-18,6.858774193548388,4.248146031746032,10.622081249999999,12.475738095238095
2023-01-19,6.764670967741936,4.15992380952381,10.7485625,15.284904761904762
2023-01-20,6.630870967741936,4.143203174603175,10.726137500000002,14.093714285714286
2023-01-21,6.6163483870967745,4.567184126984127,11.203437500000001,10.486714285714285
2023-01-22,6.574916129032257,4.915871428571428,10.962600000000002,3.999880952380952
2023-01-23,6.913774193548387,4.293398412698412,10.606137499999999,15.79204761904762
2023-01-24,6.907529032258066,4.218025396825397,9.634875,12.86804761904762
2023-01-25,6.94876129032258,4.288336507936508,9.46716875,13.781357142857143
2023-01-26,7.008051612903226,4.17885873015873,9.75845,17.451642857142854
2023-01-27,6.828116129032259,4.270425396825397,9.824825,14.614928571428571
2023-01-28,6.670064516129033,4.704225396825397,9.938525,6.160809523809524
2023-01-29,8.012864516129033,4.983073015873016,10.09488125,5.121404761904762
2023-01-30,7.922793548387096,4.201365079365079,8.27218125,12.096261904761905
2023-01-31,7.178858064516128,4.196287301587302,7.981037499999999,14.273642857142859
2023-02-01,6.273612903225806,4.038847619047619,7.64383125,12.79540476190476
2023-02-02,6.334825806451613,4.091163492063492,7.2944562500000005,13.626785714285713
2023-02-03,5.7825612903225805,4.086649206349207,7.0351625,11.858880952380952
2023-02-04,6.037051612903225,4.5571142857142855,7.484768750000001,7.824333333333333
2023-02-05,5.893909677419354,4.765068253968254,8.39206875,4.944595238095238
2023-02-06,6.373148387096774,4.234768253968254,7.7880375,14.520833333333334
2023-02-07,6.374458064516129,4.053957142857143,7.407662500000001,15.855238095238096
2023-02-08,6.443180645161291,4.160755555555555,7.945375,13.69342857142857
2023-02-09,6.226593548387097,4.045569841269841,7.233012500000001,13.516452380952382
2023-02-10,6.105774193548387,4.0191317460317455,7.486918749999999,13.269023809523809
2023-02-11,5.666399999999999,4.375207936507937,7.227018749999999,7.01445238095238
2023-02-12,5.520548387096773,4.552974603174603,6.826712499999999,3.611666666666667
2023-02-13,6.051367741935484,4.085039682539683,7.055550000000001,10.304595238095239
2023-02-14,5.905464516129032,4.133226984126984,6.890174999999999,9.284666666666666
2023-02-15,5.965703225806451,4.153053968253968,6.759106249999999,10.02488095238095
2023-02-16,5.883374193548387,4.216050793650794,6.621125000000001,10.481642857142855
2023-02-17,6.281974193548387,4.161528571428572,6.934768750000001,9.20052380952381
2023-02-18,5.799064516129031,4.234019047619047,6.66951875,7.305309523809523
2023-02-19,6.048477419354838,4.716461904761905,6.716874999999999,3.5982142857142856
2023-02-20,6.022180645161291,4.285644444444444,6.27715625,12.694714285714285
2023-02-21,6.121948387096774,4.04001746031746,6.20029375,13.099333333333334
2023-02-22,6.140774193548387,4.3419460317460326,6.8061375,13.56642857142857
2023-02-23,6.301122580645162,4.150569841269841,5.9108125000000005,14.544380952380951
2023-02-24,6.050187096774193,4.09405873015873,5.559956250000001,12.602809523809526
2023-02-25,6.003012903225807,4.563125396825397,6.586337499999999,6.2208571428571435
2023-02-26,6.216761290322579,4.909469841269841,6.94316875,4.4488095238095235
2023-02-27,6.163561290322581,4.311320634920635,6.3461625,13.106523809523807
2023-02-28,6.375541935483871,4.3897634920634925,6.93565,14.622238095238098
2023-03-01,6.708870967741936,4.381866666666666,7.92063125,13.894119047619045
2023-03-02,6.480683870967742,4.322280952380953,6.808450000000001,13.214619047619047
2023-03-03,5.936329032258065,4.184784126984127,6.31066875,17.455809523809524
2023-03-04,5.828296774193548,4.53878253968254,6.08961875,6.951309523809523
2023-03-05,6.054251612903225,4.6963904761904764,6.1781999999999995,3.7650238095238096
2023-03-06,6.191309677419356,4.194439682539683,5.85645625,13.007452380952381
2023-03-07,6.0577225806451604,4.155788888888889,6.30465625,12.917857142857141
2023-03-08,6.805587096774193,4.249812698412699,7.988256250000001,12.213119047619049
2023-03-09,6.419696774193548,4.030168253968254,5.76608125,13.304238095238093
2023-03-10,6.223193548387097,4.148031746031746,6.9925187499999995,10.779333333333332
2023-03-11,6.228309677419355,4.6054031746031745,7.52900625,6.577404761904761
2023-03-12,5.913070967741935,5.014290476190475,5.8907187500000004,5.131142857142858
2023-03-13,6.07301935483871,4.248546031746032,4.9273375,14.12197619047619
2023-03-14,6.425516129032258,4.255015873015873,6.27085625,12.885690476190478
2023-03-15,6.235858064516129,4.159495238095238,5.579587500000001,11.581499999999998
2023-03-16,5.903232258064516,4.054825396825397,5.38404375,10.64852380952381
2023-03-17,6.253922580645161,3.9952031746031746,5.21526875,11.867976190476192
2023-03-18,5.953032258064517,4.47345873015873,5.28955,5.790857142857143
2023-03-19,5.984612903225806,4.955788888888889,6.58719375,4.743238095238095
2023-03-20,5.979225806451613,4.305384126984126,5.11428125,13.473666666666666
2023-03-21,5.904412903225808,4.116784126984126,5.13678125,12.4585
2023-03-22,5.84676129032258,4.090012698412698,5.0671625,13.526404761904761
2023-03-23,6.099658064516128,4.184753968253968,5.45416875,13.10254761904762
2023-03-24,6.141625806451612,4.28913492063492,6.8133687499999995,11.505309523809522
2023-03-25,6.434329032258065,4.578920634920635,6.232681250000001,6.390357142857143
2023-03-26,6.077793548387096,4.804615873015874,6.6816249999999995,3.7445952380952385
2023-03-27,6.266864516129031,4.259392063492064,5.701975,11.06245238095238
2023-03-28,6.050141935483872,4.053026984126984,5.4586375,12.17445238095238
2023-03-29,5.911096774193548,4.20072380952381,5.53114375,10.968095238095238
2023-03-30,6.078812903225805,4.171406349206349,5.77448125,12.271476190476191
2023-03-31,5.974606451612904,4.148015873015873,6.4433750000000005,11.38902380952381
2023-04-01,6.057645161290323,5.103319047619047,6.895112500000001,7.349428571428571
2023-04-02,5.945922580645161,5.468298412698412,6.99365,6.294738095238095
2023-04-03,6.466696774193547,4.706187301587302,5.591062500000001,12.02754761904762
2023-04-04,6.135858064516129,4.454952380952381,5.724025,13.321690476190476
2023-04-05,5.997748387096773,4.446966666666667,5.6338125,12.094238095238094
2023-04-06,5.783651612903226,4.366006349206349,5.48750625,10.118309523809526
2023-04-07,5.343909677419355,4.843544444444444,6.3384,4.872119047619049
2023-04-08,4.995438709677419,4.547352380952381,5.05261875,8.417047619047619
2023-04-09,4.7134064516129035,4.687768253968255,4.89610625,4.080238095238095
2023-04-10,5.050554838709678,4.817973015873016,5.556649999999999,5.395142857142857
2023-04-11,5.782651612903226,4.546284126984126,5.7281812500000004,10.799809523809525
2023-04-12,5.777883870967742,4.5119365079365075,6.4302125000000006,11.614761904761906
2023-04-13,5.856890322580645,4.47186507936508,5.125381249999999,10.276357142857142
2023-04-14,5.089967741935485,4.517079365079366,4.958787500000001,7.931404761904761
2023-04-15,5.87903870967742,4.927457142857143,6.955131249999999,6.468142857142858
2023-04-16,5.765025806451614,5.233877777777778,7.1165062500000005,2.7781666666666665
2023-04-17,5.570838709677419,4.718934920634921,5.20325625,10.218904761904763
2023-04-18,5.437948387096775,4.451363492063493,4.736993750000001,8.979785714285713
2023-04-19,5.7410903225806456,4.452344444444444,4.9025875,8.524119047619047
2023-04-20,5.9486064516129025,4.576311111111111,5.95514375,12.732928571428575
2023-04-21,5.562612903225807,4.459615873015873,5.70090625,10.08240476190476
2023-04-22,5.638425806451613,5.105263492063492,6.0209375000000005,5.583476190476191
2023-04-23,5.993329032258065,5.5009507936507935,6.15195,3.800119047619048
2023-04-24,6.134122580645161,4.601795238095239,5.290525000000001,9.95245238095238
2023-04-25,6.13503870967742,4.479871428571429,5.3425625,13.42485714285714
2023-04-26,6.080496774193547,4.47607619047619,5.0999375,12.44395238095238
2023-04-27,5.817774193548387,4.352473015873016,4.40024375,13.889309523809525
2023-04-28,5.971929032258065,4.335012698412698,4.611012499999999,12.433547619047618
2023-04-29,6.073322580645161,4.838166666666667,5.300693750000001,7.384357142857143
2023-04-30,6.138696774193548,5.114092063492063,5.802437500000001,4.409166666666667
2023-05-01,6.399490322580646,4.827755555555555,5.60709375,10.11252380952381
2023-05-02,5.842025806451614,4.342990476190476,4.3595500000000005,10.481666666666666
2023-05-03,5.876967741935483,4.502993650793651,4.08675,11.84554761904762
2023-05-04,5.620800000000001,4.321204761904762,3.8971937499999996,10.520476190476192
2023-05-05,5.363909677419354,4.413838095238095,4.038831249999999,10.227452380952382
2023-05-06,5.804,4.819020634920635,4.145356250000001,9.15688095238095
2023-05-07,5.789709677419356,5.5326031746031745,5.3299062500000005,6.2813333333333325
2023-05-08,6.147483870967743,4.646822222222221,4.5869937499999995,11.275690476190476
2023-05-09,6.0239935483870966,4.588722222222223,4.9238875,10.715142857142856
2023-05-10,5.841561290322581,4.542266666666667,4.461281250000001,10.144357142857142
2023-05-11,6.099380645161291,4.483415873015873,4.78470625,10.81595238095238
2023-05-12,5.581780645161291,4.3329603174603175,4.52576875,9.03545238095238
2023-05-13,5.979161290322581,5.13120634920635,5.4109750000000005,7.141642857142856
