WeekHourIndex,DayOfWeek,HourOfDay,Cluster_0,Cluster_1,Cluster_2,Cluster_3
0,0,0,0.03297304079877112,0.041581020408163256,0.061416845238095194,0.03074092970521542
1,0,1,0.028658579815668203,0.03469589947089948,0.054382247023809546,0.02954835600907029
2,0,2,0.02667980534562212,0.031032456538170848,0.051794464285714256,0.02926706349206349
3,0,3,0.026161929139784944,0.029149232804232796,0.050926354166666674,0.027861337868480725
4,0,4,0.026124976651305698,0.028288408919123226,0.050609092261904784,0.0273500566893424
5,0,5,0.02800735377880185,0.029211825396825403,0.05443205357142854,0.029441496598639455
6,0,6,0.03573933204301075,0.03250866213151926,0.059774434523809504,0.03856899092970521
7,0,7,0.05122607961597542,0.03816584656084654,0.06450129464285717,0.06306604308390022
8,0,8,0.06328110569892476,0.04140036659108087,0.05834627976190474,0.10907828798185941
9,0,9,0.06875485924731184,0.04216912320483747,0.04541828869047619,0.15148628117913832
10,0,10,0.07395012348694313,0.0432969349962207,0.04246285714285715,0.19595555555555558
11,0,11,0.0925350052841782,0.049395812547241146,0.03788404266369046,0.20964342403628114
12,0,12,0.10611945150537631,0.06278707482993201,0.042576924598214286,0.1975141156462585
13,0,13,0.08567693348694316,0.055942275132275066,0.0352281994047619,0.19249455782312927
14,0,14,0.07368104107526882,0.049462698412698396,0.03464184523809523,0.18115447845804988
15,0,15,0.06890044589861748,0.047041126228269094,0.034371741071428576,0.16396286848072567
16,0,16,0.07652892548387098,0.0488385865457294,0.04025456845238097,0.15025294784580498
17,0,17,0.08917568279569892,0.056485026455026476,0.0552705505952381,0.13228231292517006
18,0,18,0.11455223557603689,0.07495879818594103,0.08306053571428576,0.09239138321995465
19,0,19,0.11205581425499235,0.09439595616024188,0.10639160714285718,0.05943390022675737
20,0,20,0.08529619182795703,0.08938216553287989,0.10297790178571431,0.04499529478458051
21,0,21,0.0712023341935484,0.07610055933484505,0.09876357142857146,0.04039393424036281
22,0,22,0.0574548803379416,0.06443078231292511,0.09912050595238096,0.036404024943310645
23,0,23,0.04224668620583718,0.0519927588813303,0.07927014880952382,0.03329586167800454
24,1,0,0.03311068199692778,0.0414442290249433,0.0644259226190476,0.03233854875283446
25,1,1,0.02857705334869431,0.03440943310657596,0.0576323363095238,0.030447902494331068
26,1,2,0.026682535253456218,0.030767482993197287,0.053909821428571425,0.029983843537414963
27,1,3,0.02594463313364055,0.029014028722600147,0.05256480654761901,0.029268027210884354
28,1,4,0.026252255084485407,0.028502770219198805,0.051661562500000015,0.029452380952380956
29,1,5,0.02872718041474652,0.02940730536659107,0.05433979166666666,0.03137069160997733
30,1,6,0.03524832666666665,0.03313904006046865,0.06030849702380954,0.04051700680272109
31,1,7,0.05081622205837177,0.03971365457294027,0.06262636904761903,0.06805408163265304
32,1,8,0.06399557139784944,0.042253488284202535,0.057370446428571406,0.11613707482993195
33,1,9,0.0678700951766513,0.04171164021164024,0.04437595238095237,0.16578492063492062
34,1,10,0.07147933698924727,0.042484761904761914,0.037300357142857135,0.2290092403628118
35,1,11,0.0890086691858679,0.04874656084656082,0.035329732142857145,0.24222760770975058
36,1,12,0.10138201112135173,0.05994220332577476,0.04043869047619046,0.2232777210884354
37,1,13,0.08287008036866358,0.05338090702947844,0.03334806547619045,0.2192047619047619
38,1,14,0.07039981327188935,0.04770466742252456,0.03116352678571428,0.2076883786848073
39,1,15,0.06589793101382489,0.04593583900226757,0.031121026785714278,0.19141456916099775
40,1,16,0.07126235101382489,0.046943321995464866,0.03961721726190478,0.17303781179138322
41,1,17,0.087601686313364,0.05372544973544974,0.05683485119047619,0.1468548752834467
42,1,18,0.11321046167434713,0.07319342403628121,0.08197919642857142,0.10864234693877549
43,1,19,0.11200684136712746,0.09185976190476192,0.1065764434523809,0.06367704081632652
44,1,20,0.08619128780337942,0.08708864701436125,0.10432839285714288,0.04831530612244898
45,1,21,0.0720526558678955,0.07358842781557069,0.09889443452380953,0.04444041950113379
46,1,22,0.05859987513056838,0.06271018896447464,0.09805191964285712,0.038615532879818594
47,1,23,0.04327316039938555,0.05184846182917612,0.08136660714285708,0.0355593537414966
48,2,0,0.033716957630272944,0.04138524114774117,0.06483309795673078,0.03433716804029304
49,2,1,0.028727736631513637,0.03422845695970697,0.05851735276442305,0.03296096611721612
50,2,2,0.0265868815601737,0.030966155372405373,0.05516338641826921,0.032998282967032964
51,2,3,0.02602765784739455,0.02904394841269842,0.05373341346153848,0.031318853021978024
52,2,4,0.026360599984491306,0.028365735653235642,0.052287830528846134,0.03078462683150183
53,2,5,0.02901534032258063,0.029175946275946264,0.055191271033653864,0.03256622023809524
54,2,6,0.03456854384305211,0.03298581730769229,0.06020603966346154,0.0416823489010989
55,2,7,0.051514848433622855,0.03946167200854701,0.06455443209134618,0.07138982371794873
56,2,8,0.06500035409429278,0.04247958257020757,0.05888592247596155,0.11442880036630038
57,2,9,0.07083451870347394,0.04238675595238096,0.04646879507211538,0.1597971611721612
58,2,10,0.07516147662841191,0.04352261141636138,0.03798527644230771,0.21000440705128204
59,2,11,0.09274301723014886,0.048164323870573844,0.03588915264423077,0.23562826236263734
60,2,12,0.10644236298076926,0.06033578678266177,0.04402110877403847,0.22075566620879122
61,2,13,0.0873541867400744,0.05415196504884005,0.034550706129807686,0.2120224931318681
62,2,14,0.07562700922766748,0.048136347680097676,0.032736583533653836,0.1881422847985348
63,2,15,0.07158044371898264,0.04685328525641024,0.033248317307692316,0.1769725847069597
64,2,16,0.0739917090725807,0.04754239163614166,0.04049023437499998,0.16019110576923076
65,2,17,0.08673064601426798,0.054126423229548214,0.05687880108173079,0.14073666437728938
66,2,18,0.11244801563275433,0.07193771367521368,0.08302901141826927,0.10212053571428571
67,2,19,0.11335289685173698,0.08982865537240538,0.10260668569711533,0.06529309752747253
68,2,20,0.08682905854528537,0.08458069673382176,0.09854314903846154,0.05088845009157509
69,2,21,0.07276076001861043,0.07225915750915758,0.09644924879807693,0.0447529761904762
70,2,22,0.05918774021401987,0.06286148885836382,0.09658446514423076,0.04057303113553114
71,2,23,0.044298385871588096,0.05235349130036627,0.08029133112980771,0.03758470695970696
72,3,0,0.0341503912996278,0.04164267017704519,0.06520647536057692,0.03617473672161172
73,3,1,0.029232051659429294,0.034425171703296696,0.05866114783653843,0.034279246794871786
74,3,2,0.027132388740694784,0.030807444291819294,0.055305258413461546,0.03129939331501831
75,3,3,0.02655541239143922,0.029048344017094035,0.053711688701923076,0.029967719780219778
76,3,4,0.026540037220843665,0.028553090659340665,0.05257316706730769,0.029374885531135535
77,3,5,0.028585993284739448,0.029154040750915756,0.055504912860576926,0.031076808608058608
78,3,6,0.03551672909429283,0.032747817460317456,0.061118855168269245,0.039715258699633695
79,3,7,0.052330889081885865,0.039126564407814424,0.06491802884615386,0.06742221840659342
80,3,8,0.06549956521401988,0.042628853785103775,0.05970919471153848,0.11836921932234434
